Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.9542,0.41191,545.9542,0.40524,545.9542,0.40802
545.9544,0.41177,545.9544,0.40517,545.9544,0.40776
545.9546,0.4113,545.9546,0.40505,545.9546,0.40785
545.9548,0.41113,545.9548,0.4052,545.9548,0.40777
545.955,0.41096,545.955,0.40528,545.955,0.4079
545.9552,0.41072,545.9552,0.40521,545.9552,0.408
545.9554,0.41044,545.9554,0.40501,545.9554,0.40754
545.9556,0.41018,545.9556,0.40521,545.9556,0.40784
545.9558,0.40977,545.9558,0.40502,545.9558,0.40753
545.956,0.40939,545.956,0.40521,545.956,0.40733
545.9562,0.40922,545.9562,0.40492,545.9562,0.40763
545.9564,0.40916,545.9564,0.4049,545.9564,0.40735
545.9566,0.40892,545.9566,0.40482,545.9566,0.40709
545.9568,0.40904,545.9568,0.40495,545.9568,0.40714
545.957,0.40881,545.957,0.40475,545.957,0.40702
545.9572,0.40872,545.9572,0.40469,545.9572,0.40699
545.9574,0.40795,545.9574,0.40469,545.9574,0.40656
545.9576,0.40798,545.9576,0.40449,545.9576,0.40634
545.9578,0.40837,545.9578,0.40447,545.9578,0.40669
545.958,0.40796,545.958,0.40444,545.958,0.4067
545.9582,0.40772,545.9582,0.40449,545.9582,0.40666
545.9584,0.40798,545.9584,0.40449,545.9584,0.40631
545.9586,0.40775,545.9586,0.40423,545.9586,0.40623
545.9588,0.40749,545.9588,0.40423,545.9588,0.40604
545.959,0.40761,545.959,0.40422,545.959,0.40603
545.9592,0.40738,545.9592,0.40428,545.9592,0.40606
545.9594,0.40734,545.9594,0.40415,545.9594,0.40576
545.9596,0.40742,545.9596,0.40399,545.9596,0.40587
545.9598,0.40721,545.9598,0.40403,545.9598,0.40607
545.96,0.40746,545.96,0.404,545.96,0.40568
545.9602,0.40726,545.9602,0.40395,545.9602,0.40578
545.9604,0.40724,545.9604,0.40386,545.9604,0.40579
545.9606,0.40741,545.9606,0.40391,545.9606,0.40557
545.9608,0.40713,545.9608,0.40393,545.9608,0.40565
545.961,0.40736,545.961,0.40384,545.961,0.40548
545.9612,0.40715,545.9612,0.40374,545.9612,0.40548
545.9614,0.40726,545.9614,0.40386,545.9614,0.40539
545.9616,0.40708,545.9616,0.40373,545.9616,0.40537
545.9618,0.40722,545.9618,0.40363,545.9618,0.40551
545.962,0.40711,545.962,0.40369,545.962,0.40538
545.9622,0.40693,545.9622,0.40382,545.9622,0.40543
545.9624,0.40712,545.9624,0.40366,545.9624,0.40536
545.9626,0.40711,545.9626,0.40382,545.9626,0.40517
545.9628,0.40681,545.9628,0.40372,545.9628,0.40553
545.963,0.40679,545.963,0.40367,545.963,0.40519
545.9632,0.40675,545.9632,0.40365,545.9632,0.40539
545.9634,0.40681,545.9634,0.4036,545.9634,0.40521
